Preprocessing,Clusters,Silhouette Score,Calinski-Harabasz,Davies-Bouldin
No Data Processing,3,0.5509643746707443,560.3660038653594,0.6663912107101494
No Data Processing,4,0.4974115445023624,528.1664199842686,0.7544734754523458
No Data Processing,5,0.4885175508886279,494.0943819140986,0.8062414921965125
Using Normalization,3,0.48247222154221125,350.06140393380275,0.7874978912757878
Using Normalization,4,0.4435001045329514,312.60748462711985,0.9088222678414
Using Normalization,5,0.4222535372081206,262.0186879041574,0.9934140496953834
Using Transform,3,0.4787241921049546,156.14303764903215,0.7868006762339902
Using Transform,4,0.38724679456128813,205.94996870333947,0.8656046646046744
Using Transform,5,0.3472646487546106,201.98751625047865,0.9406324874846718
Using PCA,3,0.5975649100584403,692.4047214714848,0.5650839035246539
Using PCA,4,0.5576202302872261,717.4767374625782,0.6153003776642384
Using PCA,5,0.5099661822920882,640.473790031085,0.752690963918304
Using T+N,3,0.4787241921049546,156.14303764903215,0.7868006762339896
Using T+N,4,0.38724679456128813,205.94996870333958,0.8656046646046747
Using T+N,5,0.3472646487546106,201.98751625047865,0.9406324874846724
T+N+PCA,3,0.522132071632173,179.52630124914236,0.7346524187462292
T+N+PCA,4,0.44441490163960506,262.85596430026897,0.7416251907640572
T+N+PCA,5,0.4182371003932714,276.2427145842523,0.767693129250893
